202100,SV1U,Athens,Attica,Greece,439.00000,1,-7.600,Master,None,SV1NZP,,37.983917,23.7293599<BR/>
202101,SW1F,Moschato / Athens,Attica,Greece,438.81250,1,-7.600,Peer,TS1 TS2,SV1GFH,Motorola,,<BR/>
204101,PI1AMS,Amsterdam,,Netherlands,438.40000,1,-7.600,PEER,TS1 TS2,PA3PM,BM,52.3702157,4.8951679<BR/>
204102,PI1YMD,Ijmuiden/Test,Noord-Holland,Netherlands,438.36250,1,-7.6,Peer,TS1 TS2,PD0BEL,HYTERA,52.5205869,4.788474<BR/>
204103,PI1WFR,Obdam,Noord-Holland,Netherlands,438.01250,1,-7.600,PEER,TS1 TS2,PE1BMM,BM,52.6760192,4.9081883<BR/>
204200,PI1RTD,Rotterdam,,Netherlands,438.20000,1,-7.600,PEER,TS1 TS2,PA0HTW,DMR-MARC,51.93856340000001,4.5837203<BR/>
204204,PI1DFT,Delft,Zuid-Holland,Netherlands,438.37500,1,-7.600,PEER,TS1 TS2,PD4TH,BM,52.0115769,4.3570677<BR/>
204300,PI1UTR,Ijsselstein,Utrecht,Netherlands,438.35000,1,-7.600,PEER,TS1 TS2,PE1RJV,N/A,52.0177649,5.0403003<BR/>
204311,PI1AMF,Amersfoort,,Netherlands,438.33750,1,-7.600,PEER,TS1 TS2,PA1GF,DMR-MARC,52.1417105,5.4407693<BR/>
204342,PI1SPA,Spakenburg,Utrecht,Netherlands,438.30000,1,-7.600,PEER,TS1 TS2,PD0RAF,BM,52.25,5.366667<BR/>
204400,PI1HRL,Heerlen,,Netherlands,438.26250,2,-7.600,PEER,TS1 TS2,PD4RS,BM,50.8881742,5.9794988<BR/>
204401,PI1ZLD,Zierikzee,Zeeland,Netherlands,438.40000,2,-7.600,PEER,TS1 TS2,PA9KM,BM,51.6501218,3.9184977<BR/>
204402,PI1ZLB,Maastricht,,Netherlands,438.15000,3,-7.600,PEER,TS1 TS2,PD3R,BM,50.8513682,5.6909725<BR/>
204403,PI1NLB,Gennep,Limburg,Netherlands,438.02500,1,-7.600,PEER,TS1 TS2,PA3ETC,BM,51.6978545,5.9726751<BR/>
204500,PI1ZOB,Eindhoven,,Netherlands,438.25000,3,-7.600,PEER,TS1 TS2,PE1DGW,BM,51.441642,5.4697225<BR/>
204501,PI1TBG,Tilburg,Noord-Brabant,Netherlands,438.23750,1,-7.600,PEER,TS1 TS2,PE1RJV,N/A,51.560596,5.0919143<BR/>
204555,PI1TDT,Not fixed / various,Noord-Brabant,Netherlands,438.00000,2,-7.600,PEER,TS1 TS2,PE1DGW,N/A,51.4826537,5.2321687<BR/>
204600,PI1APD,Apeldoorn,,Netherlands,438.38750,1,-7.600,PEER,TS1 TS2,PE1RJV,BM,52.211157,5.9699231<BR/>
204601,PI1ZHM,Zelhem,Gelderland,Netherlands,438.28750,1,-7.600,PEER,TS1 TS2,PA3ANB,BM,52.0059816,6.3495613<BR/>
204602,PI1ANH,Oosterbeek,Gelderland,Netherlands,438.06250,1,-7.600,PEER,TS1 TS2,PA1PAS,BM,51.9858013,5.8462813<BR/>
204612,PD0JAC,Arnhem,Gelderland,Netherlands,430.06250,1,7.600,PEER,TS1 TS2,PD0JAC,N/A,51.9851034,5.8987296<BR/>
204666,PI1GRL,Groenlo,Gelderland,Netherlands,438.32500,1,-7.600,PEER,TS1 TS2,PC2KY,Hytera,,<BR/>
204700,PI1DAF,Almere,,Netherlands,438.96250,1,-7.600,PEER,TS1 TS2,PD0POH,N/A,52.3507849,5.2647016<BR/>
204701,PI1KMP,Kampen,Overijssel,Netherlands,438.28750,2,-7.600,PEER,TS1 TS2,PD0HF,BM,52.5579645,5.9144617<BR/>
204702,PI1SHA,Almere,Flevoland,Netherlands,438.31250,1,-7.600,PEER,TS1 TS2,PA2SHA,BM,52.3507849,5.2647016<BR/>
204710,PI1ZWL,Zwolle,Overijssel,Netherlands,438.16250,1,-7.600,PEER,TS1 TS2,PD0ZWL,Motorola,52.5167747,6.0830219<BR/>
204711,PI1TWE,Hengelo,Overijssel,Netherlands,438.27500,1,-7.600,PEER,TS1 TS2,PE1SCX,BM,52.2574121,6.7927725<BR/>
204720,PI1NIJ,Nijverdal,Overijssel,Netherlands,438.03750,1,-7.600,PEER,TS1 TS2,PI1NIJ,BM,52.3638863,6.4627523<BR/>
204777,PI1KPH,Zwolle,Overijssel,Netherlands,438.15000,2,-7.600,PEER,TS1 TS2,PA4DEN,DMR-MARC,52.5167747,6.0830219<BR/>
204778,PI1KPH,Zwolle,Overijssel,Netherlands,438.15000,4,-7.600,PEER,TS1 TS2,PA4DEN,N/A,52.5167747,6.0830219<BR/>
204800,PI1NOG,Delfzijl,,Netherlands,438.15000,1,-7.600,PEER,TS1 TS2,PA3GAZ,DMR-MARC,53.3310272,6.9244598<BR/>
204801,PI1DRA,Drachten,,Netherlands,438.00000,1,-7.600,PEER,TS1 TS2,PD0SDO,BM,53.0925814,6.0586373<BR/>
204802,PI1CVD,Coevorden,Drenthe,Netherlands,438.25000,2,-7.600,PEER,TS1 TS2,PD0ADC,BM,52.6613567,6.7410616<BR/>
204844,PI1FRL,Burgwerd,Friesland,Netherlands,438.36250,1,-7.600,PEER,TS1 TS2,PA3GFY,BM,53.086119,5.5458909<BR/>
206001,ON0CK,Kortrijk,West-Vlaanderen,Belgium,439.16250,1,-7.600,PEER,TS1 TS2,ON4TOP,BM,50.8194776,3.2577263<BR/>
206002,ON0SEA,Knokke-Heist,West-Vlaanderen,Belgium,438.93750,1,-7.600,Peer,TS1 TS2,ON4UK,BM,51.34635,3.28586<BR/>
